Feature,Model,Accuracy,Precision,Recall,F1 Score
Bag of Words,Naive Bayes,0.9759095378564405,0.9820409299735486,0.9905912090998455,0.9862975391498882
Bag of Words,Logistic Regression,0.9744346116027532,0.9874488788605275,0.9832888639236063,0.9853644807205179
Bag of Words,SVM,0.9718534906588004,0.9808819425062797,0.9870804662266536,0.9839714425701687
TF-IDF,Naive Bayes,0.9280973451327433,0.9248569942797712,0.9990169919955062,0.9605076621886182
TF-IDF,Logistic Regression,0.9751720747295969,0.9875968992248062,0.9839910124982446,0.9857906584130557
TF-IDF,SVM,0.9756637168141593,0.9844646606018195,0.9877826148012919,0.9861208467685406
